DATE,CUSR0000SAE1
1/1/2010,195.483
2/1/2010,196.383
3/1/2010,197.307
4/1/2010,198.173
5/1/2010,198.726
6/1/2010,199.553
7/1/2010,199.953
8/1/2010,200.388
9/1/2010,200.734
10/1/2010,201.011
11/1/2010,201.811
12/1/2010,202.657
1/1/2011,203.667
2/1/2011,204.37
3/1/2011,205.011
4/1/2011,205.63
5/1/2011,206.372
6/1/2011,207.055
7/1/2011,207.691
8/1/2011,209.231
9/1/2011,209.853
10/1/2011,210.781
11/1/2011,211.474
12/1/2011,212.133
1/1/2012,212.752
2/1/2012,213.259
3/1/2012,213.85
4/1/2012,214.401
5/1/2012,215.142
6/1/2012,215.626
7/1/2012,216.654
8/1/2012,217.29
9/1/2012,218.236
10/1/2012,218.952
11/1/2012,219.583
12/1/2012,220.263
1/1/2013,221.376
2/1/2013,221.963
3/1/2013,222.541
4/1/2013,223.125
5/1/2013,223.647
6/1/2013,224.034
7/1/2013,224.812
8/1/2013,225.362
9/1/2013,225.749
10/1/2013,226.44
11/1/2013,227.234
12/1/2013,228.015
1/1/2014,228.073
2/1/2014,229.103
3/1/2014,229.723
4/1/2014,230.373
5/1/2014,231.05
6/1/2014,231.667
7/1/2014,232.213
8/1/2014,233.008
9/1/2014,233.417
10/1/2014,234.146
11/1/2014,234.8
12/1/2014,235.402
1/1/2015,236.63
2/1/2015,237.012
3/1/2015,238.117
4/1/2015,239.052
5/1/2015,239.665
6/1/2015,240.232
7/1/2015,241.058
8/1/2015,241.563
9/1/2015,242.52
10/1/2015,242.936
11/1/2015,243.567
12/1/2015,244.004
1/1/2016,244.548
2/1/2016,245.046
3/1/2016,245.554
4/1/2016,246.213
5/1/2016,246.761
6/1/2016,247.276
7/1/2016,247.732
8/1/2016,248.242
9/1/2016,248.753
10/1/2016,249.496
11/1/2016,249.94
12/1/2016,250.769
1/1/2017,250.958
2/1/2017,251.499
3/1/2017,251.804
4/1/2017,252.03
5/1/2017,252.289
6/1/2017,252.972
7/1/2017,253.339
8/1/2017,253.46
9/1/2017,254.126
10/1/2017,254.783
11/1/2017,255.553
12/1/2017,255.815
1/1/2018,255.998
2/1/2018,256.403
3/1/2018,256.272
4/1/2018,256.575
5/1/2018,257.373
6/1/2018,257.916
7/1/2018,258.665
8/1/2018,260.256
9/1/2018,260.741
10/1/2018,261.348
11/1/2018,262.013
12/1/2018,262.614
1/1/2019,262.998
2/1/2019,263.693
3/1/2019,264.521
4/1/2019,264.925
5/1/2019,265.426
6/1/2019,265.791
7/1/2019,266.023
8/1/2019,266.607
9/1/2019,266.822
10/1/2019,267.36
11/1/2019,267.863
12/1/2019,268.203
